Id,OpportunityId,CreatedById,CreatedDate,Field,OldValue,NewValue
0172e00000nusBjAAI,0062e000002HGLYAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBJAAY,0062e000002HGLrAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBlAAI,0062e000002HGLyAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBLAAY,0062e000002HGLSAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBnAAI,0062e000002HGLZAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBNAAY,0062e000002HGLsAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBpAAI,0062e000002HGLzAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBPAAY,0062e000002HGLTAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBrAAI,0062e000002HGM0AAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBRAAY,0062e000002HGLtAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBtAAI,0062e000002HGM1AAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBTAAY,0062e000002HGLUAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBvAAI,0062e000002HGM2AAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBVAAY,0062e000002HGLuAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
