Id,WhatId,ActivityDate,Status,OwnerId,Type,TaskSubtype
00T2e000003tzXNEAY,0062e000002HGDpAAO,27/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tvtoEAA,0062e000002HGDpAAO,27/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tvrDEAQ,0062e000002HGDpAAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tuvNEAQ,0062e000002HGDpAAO,27/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tsqvEAA,0062e000002HGDpAAO,27/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tsGYEAY,0062e000002HGDpAAO,8/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tsEHEAY,0062e000002HGDpAAO,27/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003trfzEAA,0062e000002HGDpAAO,27/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003toYjEAI,0062e000002HGDpAAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tnoIEAQ,0062e000002HGDpAAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tiMsEAI,0062e000002HGDpAAO,27/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000004b9cDEAQ,0062e000002HGDrAAO,26/1/20,Completed,0052e000000VJDbAAO,,Email
00T2e000003u2uGEAQ,0062e000002HGDrAAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tyQ3EAI,0062e000002HGDrAAO,16/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003trGDEAY,0062e000002HGDrAAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tkpDEAQ,0062e000002HGDrAAO,16/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u5ReEAI,0062e000002HGDxAAO,16/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u5E0EAI,0062e000002HGDxAAO,9/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u0rnEAA,0062e000002HGDxAAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u04JEAQ,0062e000002HGDxAAO,8/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tzXFEAY,0062e000002HGDxAAO,16/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tzSeEAI,0062e000002HGDxAAO,8/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003twf6EAA,0062e000002HGDxAAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tu1kEAA,0062e000002HGDxAAO,9/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tqDUEAY,0062e000002HGDxAAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tmeoEAA,0062e000002HGDxAAO,16/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tjJBEAY,0062e000002HGDxAAO,16/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tinyEAA,0062e000002HGDxAAO,16/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tiYSEAY,0062e000002HGDxAAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
